Denominazione,CodiceFiscale,CodiceABI,CodiceBIC,CodiceSellerBank,Attivo,AttivoMod12,AttivoMod3
"BANCA SICANA - CREDITO COOPERATIVO DI SOMMATINO, SERRADIFALCO E SAMBUCA DI SICILIA - SOCIETA' COOPERATIVA",01438930859,08985,CCRTIT2TNIS,,1,1,1
Banca Sistema S.P.A.,12870770158,03158,BSISITMMXXX,,1,0,1
Banca Stabiese SPA,00275490639,03388,STAIIT31XXX,,1,0,1
Banca Sviluppo Tuscia S.P.A.,02078470560,03441,SVTUIT21XXX,,1,0,1
BANCATER CREDITO COOPERATIVO FVG  - SOCIETA' COOPERATIVA,00251640306,08631,CCRTIT2TTER,,1,1,1
BANCA TIRRENICA S.P.A.,13615051003,05390,ARBAIT33,,1,0,1
Banca UBAE SPA,00716130588,03598,UBAIITRR,,1,0,1
BANCA VALDICHIANA - CREDITO COOPERATIVO DI CHIUSI E MONTEPULCIANO - SOCIETA' COOPERATIVA,01433000526,08489,ICRAITRRDL0,,1,0,1
Banca Valsabbina Societa' Cooperativa per Azioni,00283510170,05116,BCVAIT2V,,1,1,1
BANCA VERONESE CREDITO COOPERATIVO DI CONCAMARISE SOCIETA' COOPERATIVA,00326490232,08322,ICRAITRR8Y0,,1,0,1
BANCA VERSILIA LUNIGIANA E GARFAGNANA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00174600460,08726,ICRAITRRK60,,1,1,1
Banca Widiba S.P.A.,08447330963,03442,WIDIITMM,,1,0,1
BANCO BPM SOCIETA' PER AZIONI,09722490969,05034,BAPPIT21,,1,0,1
Banco delle Tre Venezie S.P.A.,04147080289,03365,TRVEIT2PXXX,,1,0,1
Banco di Credito Paolo Azzoaglio SPA,00166050047,03425,AZZBITT1XXX,,1,1,1
Banco di Desio e della Brianza SPA,01181770155,03440,BDBDIT22XXX,,1,1,1
Banco di Lucca e del Tirreno S.P.A.,01880620461,03242,BLUCIT31,,1,0,1
Banco di Sardegna SPA,01564560900,01015,SARDIT31,,1,0,1
BANCO FIORENTINO - MUGELLO IMPRUNETA SIGNA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,06657430481,08325,ICRAITRR910,,1,0,1
BANCO MARCHIGIANO CREDITO COOPERATIVO,00096960430,08491,CCRTIT2TCIV,,1,1,1
BCC BASILICATA - CREDITO COOPERATIVO DI LAURENZANA E COMUNI LUCANI - SOCIETA' COOPERATIVA,00114980766,08597,ICRAITRRGL0,,1,0,1
BCC CAMPANIA CENTRO - CASSA RURALE ED ARTIGIANA - SOCIETA' COOPERATIVA,00258900653,08378,ICRAITRRAI0,,1,1,1
BCC del Carso Societa' Cooperativa,00093160323,08928,CCRTIT2TV00,,1,0,1
B.C.C. DEL GARDA - BANCA DI CREDITO COOPERATIVO COLLI MORENICI DEL GARDA - SOCIETA' COOPERATIVA,00285660171,08676,ICRAITRRIS0,,1,0,1
"BCC DI ALBA, LANGHE, ROERO E DEL CANAVESE S.C.",00236570040,08530,ICRAITMMEQ0,,1,1,1
BCC FELSINEA - BANCA DI CREDITO COOPERATIVO DAL1902 - SOCIETA' COOPERATIVA,00389400375,08472,ICRAITRRD40,,1,0,1
BCC UMBRIA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,03518350545,07075,ICRAITRRTV0,,1,1,1
BENE BANCA CREDITO COOPERATIVO DI BENE VAGIENNA (CUNEO) - SOCIETA' COOPERATIVA,00167340041,08382,CCRTIT2TBEN,,1,1,1
BPER BANCA S.P.A.,01153230360,05387,BPMOIT22,,1,0,1
CABEL IP S.P.A.,06078740484,36018,CBPSIT31XXX,,1,0,1
CASSA CENTRALE BANCA - CREDITO COOPERATIVO ITALIANOSOCIETA' PER AZIONI (IN SIGLA CASSA CENTRALE BANCA),00232480228,03599,CCRTIT2TXXX,,1,1,1
Cassa Centrale Raiffeisen dell'Alto Adige SPA,00194450219,03493,RZSBIT2B,,1,1,1
CASSA DI RISPARMIO DI ASTI S.P.A.,00060550050,06085,CASRIT22,,1,0,1
CASSA DI RISPARMIO DI BIELLA E VERCELLI - BIVERBANCA SPA,01807130024,06090,CRBIIT2B,,1,0,1
CASSA DI RISPARMIO DI BOLZANO S.P.A. - SUDTIROLER SPARKASSE AG,00152980215,06045,CRBZIT2B,,1,1,1
CASSA DI RISPARMIO DI FERMO S.P.A.,00112540448,06150,CRFEIT3F,,1,1,1
CASSA DI RISPARMIO DI FOSSANO S.P.A.,00166910042,06170,CRIFIT2F,,1,0,1
CASSA DI RISPARMIO DI ORVIETO S.P.A.,00063960553,06220,BPBAITR1XXX,,1,0,1
CASSA DI RISPARMIO DI SALUZZO S.P.A.,00243830049,06295,CRSAIT22,,1,0,1
CASSA DI RISPARMIO DI VOLTERRA S.P.A.,01225610508,06370,CRVOIT3V,,1,0,1
Cassa Lombarda SPA,00714590155,03488,LOMCITMM,,1,0,1
CASSA PADANA BANCA DI CREDITO COOPERATIVO SOCIETA' COOPERATIVA,01741030983,08340,ICRAITRR9G0,,1,0,1
CASSA RAIFFEISEN ALTA PUSTERIA SOCIETA' COOPERATIVA,00143210219,08020,,,1,1,1
CASSA RAIFFEISEN ALTA VENOSTA SOCIETA' COOPERATIVA,00137230215,08066,,,1,1,1
CASSA RAIFFEISEN BASSA ATESINA,00143480218,08114,,,1,1,1
CASSA RAIFFEISEN BASSA VALL'ISARCO SOCIETA' COOPERATIVA,00181170218,08113,,,1,1,1
CASSA RAIFFEISEN BASSA VENOSTA SOCIETA' COOPERATIVA,00159550219,08157,,,1,1,1
CASSA RAIFFEISEN CAMPO DI TRENS SOCIETA' COOPERATIVA,00143170215,08249,,,1,1,1
CASSA RAIFFEISEN CASTELROTTO - ORTISEI SOC. COOPERATIVA - RAIFFEISENKASSE KASTELRUTH - ST. ULRICH GENOSSENSCHAFT,00170970214,08056,,,1,1,1
CASSA RAIFFEISEN DELLA VALLE ISARCO SOCIETA' COOPERATIVA,00198330219,08307,,,1,1,1
Cassa Raiffeisen della Val Passiria Societa' Cooperativa,00000000000,08998,,,1,1,1
CASSA RAIFFEISEN DI BRUNICO SOCIETA' COOPERATIVA,00198190217,08035,,,1,1,1
CASSA RAIFFEISEN DI DOBBIACO SOCIETA' COOPERATIVA,00174900217,08080,,,1,1,1
CASSA RAIFFEISEN DI FUNES SOCIETA' COOPERATIVA,00159510213,08094,,,1,1,1
CASSA RAIFFEISEN DI LAGUNDO SOCIETA' COOPERATIVA,00163310212,08112,,,1,1,1
CASSA RAIFFEISEN DI LASA SOCIETA' COOPERATIVA,00163250210,08117,,,1,1,1
CASSA RAIFFEISEN DI MARLENGO SOCIETA' COOPERATIVA,00147690218,08134,,,1,1,1
Cassa Raiffeisen di Monguelfo Casies Tesido Societa' Cooperativa,00000000000,08148,,,1,1,1
CASSA RAIFFEISEN DI NOVA PONENTE-ALDINO SOCIETA' COOPERATIVA,00163220213,08162,,,1,1,1
CASSA RAIFFEISEN DI PARCINES SOCIETA' COOPERATIVA,00169290210,08175,,,1,1,1
CASSA RAIFFEISEN DI SAN MARTINO IN PASSIRIA SOCIETA' COOPERATIVA,00143190213,08226,,,1,0,1
CASSA RAIFFEISEN DI SCENA SOCIETA' COOPERATIVA,00143180214,08234,,,1,1,1
CASSA RAIFFEISEN DI VANDOIES SOCIETA' COOPERATIVA,00181320219,08295,,,1,1,1
CASSA RAIFFEISEN DI VILLABASSA SOCIETA' COOPERATIVA,00138880216,08302,,,1,1,1
CASSA RAIFFEISEN ETSCHTAL SOCIETA' COOPERATIVA,00158030213,08269,,,1,1,1
CASSA RAIFFEISEN LACES SOCIETA' COOPERATIVA,00147150213,08110,,,1,1,1
CASSA RAIFFEISEN LANA SOCIETA' COOPERATIVA (IN LINGUA TEDESCA RAIFFEISENKASSE LANA GENOSSENSCHAFT),00186510210,08115,RZSBIT21014,,1,1,1
CASSA RAIFFEISEN MERANO SOCIETA' COOPERATIVA,00179580212,08133,,,1,1,1
CASSA RAIFFEISEN OLTRADIGE SOCIETA' COOPERATIVA,00142030212,08255,,,1,1,1
CASSA RAIFFEISEN PRATO-TUBRE SOCIETA' COOPERATIVA,00161920210,08183,,,1,1,1
CASSA RAIFFEISEN SCHLERN - ROSENGARTEN SOCIETA' COOPERATIVA,00182930214,08065,,,1,1,1
CASSA RAIFFEISEN SILANDRO SOCIETA' COOPERATIVA,00171320211,08244,,,1,1,1
CASSA RAIFFEISEN TIROLO SOCIETA' COOPERATIVA,00129600219,08278,,,1,1,1
CASSA RAIFFEISEN TURES-AURINA SOCIETA' COOPERATIVA,00193730215,08285,,,1,1,1
CASSA RAIFFEISEN ULTIMO - S. PANCRAZIO - LAUREGNO SOCIETA' COOPERATIVA,00137770210,08231,,,1,1,1
CASSA RAIFFEISEN VAL BADIA SOCIETA' COOPERATIVA - GENOSSENSCHAFT,00181060211,08010,RZSBIT21008,,1,1,1
CASSA RAIFFEISEN VAL GARDENA SOCIETA' COOPERATIVA,00134590215,08238,,,1,1,1
CASSA RAIFFEISEN VAL SARENTINO SOCIETA' COOPERATIVA,00181040213,08233,,,1,1,1
CASSA RAIFFEISEN WIPPTAL SOCIETA' COOPERATIVA,00165630211,08182,,,1,1,1
CASSA RURALE ADAMELLO BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00210910220,08024,CCRTIT2T05A,,1,1,1
CASSA RURALE ALTA VALLAGARINA E LIZZANA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00158340224,08305,CCRTIT2T77A,,1,1,1
CASSA RURALE ALTA VALSUGANA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00109850222,08178,CCRTIT2T47A,,1,1,1
CASSA RURALE ALTO GARDA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00105910228,08016,CCRTIT2T04A,,1,1,1
CASSA RURALE - BANCA DI CREDITO COOPERATIVO DI TREVIGLIO - SOCIETA' COOPERATIVA,00255130163,08899,BCCTIT2T,,1,1,1
CASSA RURALE DI BOLZANO SOCIETA' COOPERATIVA,00180630212,08081,,,1,1,1
CASSA RURALE DI LEDRO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00106040223,08026,CCRTIT2T06A,,1,1,1
CASSA RURALE DI ROVERETO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00106190226,08210,CCRTIT2T57A,,1,1,1
CASSA RURALE DI SALORNO SOCIETA' COOPERATIVA,00147330211,08220,,,1,1,1
CASSA RURALE DI TRENTO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00107860223,08304,CCRTIT2T76A,,1,1,1
CASSA RURALE DOLOMITI DI FASSA PRIMIERO E BELLUNO - BANCA DI CREDITO COOPERATIVO - SOCIETÀ COOPERATIVA,00135870228,08140,CCRTIT2T38A,,1,1,1
CASSA RURALE E ARTIGIANA DI BRENDOLA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00275710242,08399,ICRAITRRB30,,1,1,1
CASSA RURALE ED ARTIGIANA DELL'AGRO PONTINO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00076300599,08738,ICRAITRRKI0,,1,0,1
CASSA RURALE ED ARTIGIANA DI BINASCO - CREDITO COOPERATIVO SOCIETA' COOPERATIVA,00772010153,08386,ICRAITRRAQ0,,1,1,1
CASSA RURALE ED ARTIGIANA DI BORGO SAN GIACOMO (BRESCIA) - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00453000176,08393,ICRAITRRAX0,,1,0,1
CASSA RURALE ED ARTIGIANA DI BOVES - BANCA DI CREDITO COOPERATIVO (BOVES-CUNEO) - SOCIETA' COOPERATIVA,00254540040,08397,CCRTIT2TBOV,,1,1,1
CASSA RURALE ED ARTIGIANA DI CANTU' BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00196950133,08430,ACARIT22,,1,1,1
CASSA RURALE ED ARTIGIANA DI CASTELLANA GROTTE CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00382410728,08469,ICRAITRRD10,,1,0,1
CASSA RURALE ED ARTIGIANA DI CORTINA D'AMPEZZO E DELLE DOLOMITI - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00078700259,08511,CCRTIT2T95,,1,1,1
CASSA RURALE ED ARTIGIANA DI RIVAROLO MANTOVANO (MANTOVA) CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00191230200,08770,ICRAITRRLE0,,1,0,1
CASSA RURALE ED ARTIGIANA DI VESTENANOVA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01538480235,08910,CCRTIT2TB01,,1,1,1
CASSA RURALE GIUDICARIE VALSABBIA PAGANELLA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00158520221,08078,CCRTIT2T20A,,1,1,1
CASSA RURALE LAVIS -  MEZZOCORONA - VALLE DI CEMBRA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00109500223,08120,CCRTIT2T30A,,1,1,1
CASSA RURALE NOVELLA E ALTA ANAUNIA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00105000228,08200,CCRTIT2T54A,,1,1,1
CASSA RURALE RENON SOCIETA' COOPERATIVA,00182850214,08187,,,1,0,1
CASSA RURALE ROTALIANA E GIOVO - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00158680223,08139,CCRTIT2T37A,,1,1,1
CASSA RURALE  VAL DI FIEMME - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00104040225,08184,CCRTIT2T50A,,1,1,1
CASSA RURALE VAL DI SOLE - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01258070224,08163,CCRTIT2T43A,,1,1,1
CASSA RURALE VALLAGARINA - BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00148270226,08011,CCRTIT2T01A,,1,1,1
Cassa RUR. Valsugana e Tesino BCC SC,00103230223,08102,CCRTIT2T27A,,1,1,1
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO, SOCIETA' COOPERATIVA PER AZIONI",00176640266,08749,ICRAITRRKT0,,1,1,1
CENTROVENETO BASSANO BANCA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01405390244,08590,CCRTIT2TBCV,,1,1,1
CEREABANCA 1897 CREDITO COOPERATIVO SOCIETA' COOPERATIVA,00326500238,08481,CECVIT22,,1,0,1
Chebanca! S.P.A.,10359360152,03058,MICSITM1XXX,,1,0,1
CHIANTIBANCA - CREDITO COOPERATIVO S.C.,01292880521,08673,CCRTIT2TCHB,,1,1,1
CITYPOSTE PAYMENT SPA - CPP SPA,01806800676,36024,CIPYIT31K,,1,0,1
CR di Bra SPA,00200060044,06095,CRBRIT22,,1,0,1
CR di Cento SPA,01208920387,06115,CRCEIT2C,,1,0,1
CREDIT AGRICOLE CARISPEZIA S.P.A.,00057340119,06030,CRFIIT2SXXX,,1,1,1
CREDIT AGRICOLE FRIULADRIA S.P.A.,01369030935,05336,BPPNIT2PXXX,,1,1,1
CRÉDIT AGRICOLE ITALIA S.P.A.,02113530345,06230,CRPPIT2PXXX,,1,1,1
CREDITO COOPERATIVO - CASSA RURALE ED ARTIGIANA DEL FRIULI VENEZIA GIULIA - SOCIETA' COOPERATIVA,00074360314,08622,CCRTIT2T96A,,1,0,1
CREDITO COOPERATIVO CASSA RURALE ED ARTIGIANA DI ERCHIE - SOCIETA' COOPERATIVA,00082900747,08537,ICRAITRREX0,,1,0,1
CREDITO COOPERATIVO CASSA RURALE ED ARTIGIANA DI PALIANO SOCIETA' COOPERATIVA,00134660604,08717,ICRAITRRJX0,,1,1,1
CREDITO COOPERATIVO CENTRO CALABRIA - SOCIETA' COOPERATIVA,01935780799,08258,ICRAITRR760,,1,0,1
CREDITO COOPERATIVO DI CARAVAGGIO ADDA E CREMASCO - CASSA RURALE - SOCIETA' COOPERATIVA,04159640160,08441,ICRAITRRC90,,1,1,1
CREDITO COOPERATIVO DI SAN CALOGERO E MAIERATO - BCC DEL VIBONESE SOCIETA' COOPERATIVA,03401240795,08887,ICRAITRRON0,,1,0,1
CREDITO COOPERATIVO FRIULI - SOCIETA' COOPERATIVA,02216020301,07085,CCRTIT2TK00,,1,1,1
CREDITO COOPERATIVO MEDIOCRATI - SOCIETA' COOPERATIVA,02300410780,07062,ICRAITRRTI0,,1,1,1
"CREDITO COOPERATIVO RAVENNATE, FORLIVESE E IMOLESE SOCIETA' COOPERATIVA",01445030396,08542,ICRAITRRF20,,1,1,1
CREDITO COOPERATIVO VALDARNO FIORENTINO BANCA DI CASCIA - SOCIETA' COOPERATIVA,00645190489,08457,ICRAITRRCP0,,1,0,1
CREDITO COOP.VO ROMAGNOLO - BCC DI CESENA E GATTEO - S.C.,04241970401,07070,ICRAITRRTQ0,,1,1,1
CREDITO EMILIANO S.P.A.,01806740153,03032,BACRIT22,,1,0,1
"CREDITO ETNEO - BANCA DI CREDITO COOPERATIVO, SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA",03724410877,07080,ICRAITRRU00,,1,1,1
Credito Lombardo Veneto S.P.A.,03515830168,03430,CRLVIT21XXX,,1,1,1
CREDITO PADANO BANCA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01039280191,08454,ICRAITR1CMO,,1,0,1
CREDITO TREVIGIANO - BANCA DI CREDITO COOPERATIVO - SOCIETA'COOPERATIVA,00274980267,08917,ICRAITRRPH0,,1,1,1
CRU di Tuenno Val di non BCC Societa' Cooperativa,00104570221,08282,CCRTIT2T73A,,1,1,1
CSR fra il Personale della Banca D'Italia SOC. Coop. per Azioni,00532040581,05824,CSRFITR1XXX,,1,0,1
Deutsche Bank SPA,01340740156,03104,DEUTITMM,,1,0,1
EMIL BANCA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,02888381205,07072,ICRAITRRTS0,,1,1,1
FACTORCOOP SPA,03339200374,19164,xxxxxxxxx,,1,0,1
FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A.,00714540150,03296,FIBKITMM,,1,0,1
FINECOBANK BANCA FINECO S.P.A.,01392970404,03015,,,1,0,1
FRIULOVEST BANCA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00067610931,08805,CCRTIT2TFOB,,1,1,1
IBL Istituto Bancario del Lavoro SPA,00452550585,03263,IBLBITRRXXX,,1,0,1
ICONTO S.R.L.,14847241008,36042,IFSPIT21,,1,1,0
IGEA BANCA S.P.A.,04256050875,05029,PDSCIT31XXX,,1,0,1
ILLIMITY BANK S.P.A.,03192350365,03395,ITTPIT2MXXX,,1,0,1
Imprebanca S.P.A.,09994611003,03403,IMPAITRR,,1,1,1
ING Bank NV,11241140158,03475,INGBITMM,,1,0,1
Intesa Sanpaolo Private Banking S.P.A.,00460870348,03239,BCITITM3XXX,,1,1,1
Intesa Sanpaolo SPA,00799960158,03069,BCITITMM,,1,1,1
Invest Banca SPA,02586460582,03017,NVESITRR,,1,0,1
IPAGOO LLP,08520980965,36049,ORUNGB2L,,1,0,1
IW Bank S.p.A.,00485260459,03083,BLPIIT21,,1,0,1
LA BCC DEL CROTONESE - CREDITO COOPERATIVO SOCIETA' COOPERATIVA,03382760795,08595,ICRAITRRGJ0,,1,0,1
LA CASSA DI RAVENNA S.P.A.,01188860397,06270,CRRAIT2R,,1,1,1
LIS ISTITUTO DI PAGAMENTO SPA,03396740965,32698,BIC32698,,1,0,1
Nexi S.P.A.,13212880150,05000,CIPBITMM,,1,1,1
PAYTIPPER SPA,07338820967,36017,PAYTITM1,,1,0,1
Poste Italiane  S.P.A.,97103880585,07601,BPPIITRRXXX,CT000159,1,1,1
PRIMACASSA - CREDITO COOPERATIVO FVG - SOCIETA' COOPERATIVA,00249930306,08637,CCRTIT2T99A,,1,1,1
RIVIERABANCA - CREDITO COOPERATIVO DI RIMINI E GRADARA - SOCIETA' COOPERATIVA,04241950403,08995,,,1,1,1
ROMAGNABANCA CREDITO COOPERATIVO ROMAGNA EST E SALA DI CESENATICO S.C.,04302260403,08852,,,1,1,1
ROVIGOBANCA CREDITO COOPERATIVO - SOC. COOP,01088920291,08986,CCRTIT2TG01,,1,1,1
Sanfelice 1893 Banca Popolare Societa' Cooperativa per Azioni,00264720368,05652,SFSPIT22,,1,0,1
Satispay Europe S.A.,00030726739,00000,SATYLUL1,,1,1,1
SE.PA.FIN. SPA,07783020725,36063,SEPFIT31XXX,,1,0,1
SISAL GROUP SPA,05425630968,33500,SIGPITM1XXX,,1,0,1
SOLUTION BANK S.P.A.,03374640401,03273,CRDRIT2FXXX,,1,1,1
SPEEDYMONEY SPA,07832331214,36052,ABI36052,,1,0,1
TERRE ETRUSCHE E DI MAREMMA C.C. - SOCIETA' COOPERATIVA,01602230532,08851,ICRAITRRNN0,,1,1,1
"Unicredit, Societa' per Azioni",00348170101,02008,UNCRITMM,,1,1,1
Unione di Banche Italiane Societa' Cooperativa per Azioni,03053920165,03111,BLOPIT22,,1,0,1
Unipol Banca SPA,03719580379,03127,BAECIT2B,,1,1,1
VALPOLICELLA BENACO BANCA CREDITO COOPERATIVO (VERONA) SOCIETA' COOPERATIVA,01548170230,08315,ICRAITRR8R0,,1,1,1
"VIVAL BANCA - BANCA DI CREDITO COOPERATIVO DI MONTECATINI TERME, BIENTINA E S. PIETRO IN VINCIO S.C.",00088180476,08003,,,1,0,1
VIVIBANCA S.P.A.,04255700652,05030,CRSNIT31XXX,,1,0,1
